1355097600,525.00,538.51,521.58,529.82,22517225
1355184000,539.77,549.56,537.37,541.39,21155129
1355270400,547.77,548.00,536.27,539.00,17397590
1355356800,531.15,537.64,525.80,529.69,22330661
1355443200,514.75,518.13,505.58,509.79,36056357
1355702400,508.93,520.00,501.23,518.83,27105146
1355788800,525.00,534.90,520.25,533.90,22345289
1355875200,531.47,533.70,525.50,526.31,16048632
1355961600,530.00,530.20,518.88,521.73,17203114
1356048000,512.47,519.67,510.24,519.33,21304222
1356307200,520.35,524.25,518.71,520.17,6276711
1356480000,519.00,519.46,511.12,513.00,10801290
1356566400,513.54,516.25,504.66,515.06,16254240
1356652800,510.29,514.48,508.12,509.59,12652749
1356912000,510.53,535.40,509.00,532.17,23553255
1357084800,553.82,555.00,541.63,549.03,20017838
1357171200,547.88,549.67,541.00,542.10,12605850
1357257600,536.96,538.63,525.83,527.00,21225980
1357516800,522.00,529.30,515.20,523.90,17291168
1357603200,529.21,531.89,521.25,525.31,16382393
1357689600,522.50,525.01,515.99,517.10,14557137
1357776000,528.55,528.72,515.52,523.51,21469328
1357862400,521.00,525.32,519.02,520.30,12526963
1358121600,502.68,507.50,498.51,501.75,26220628
1358208000,498.30,498.99,483.38,485.92,31313276
1358294400,494.64,509.44,492.50,506.09,24671435
1358380800,510.31,510.75,502.03,502.68,16201797
1358467200,498.52,502.22,496.40,500.00,16898181
1358812800,504.56,507.88,496.63,504.77,16483739
1358899200,508.81,514.99,504.77,514.00,30767979
1358985600,460.00,465.73,450.25,450.50,52173279
1359072000,451.69,456.23,435.00,439.88,43141929
1359331200,437.82,453.21,435.86,449.83,28054133
1359417600,458.50,460.20,452.12,458.27,20395431
1359504000,457.00,462.60,454.50,456.83,14898331
1359590400,456.98,459.28,454.98,455.49,11404745
1359676800,459.11,459.48,448.35,453.62,19266727
1359936000,453.91,455.94,442.00,442.32,17039822
1360022400,444.05,459.74,442.22,457.84,20476648
1360108800,456.47,466.50,452.58,457.35,21203716
1360195200,463.25,470.00,454.12,468.22,25163582
1360281600,474.00,478.81,468.25,474.98,22612712
1360540800,476.50,484.94,473.25,479.93,18479788
1360627200,479.51,482.38,467.74,467.90,21751816
1360713600,467.21,473.64,463.22,467.01,16971603
1360800000,464.52,471.64,464.02,466.59,12696643
1360886400,468.85,470.16,459.92,460.16,13997311
1361232000,461.10,462.73,453.85,459.99,15563459
1361318400,457.69,457.69,448.80,448.85,17010698
1361404800,446.00,449.17,442.82,446.06,15970740
1361491200,449.25,451.60,446.60,450.81,11809092
1361750400,453.85,455.12,442.57,442.80,13306352
1361836800,443.82,451.54,437.66,448.97,17910582
1361923200,448.43,452.44,440.65,444.57,20976704
1362009600,444.05,447.87,441.40,441.40,11518391
1362096000,438.00,438.18,429.98,430.47,19730256
