Unixtimestamp;Open;High;Low;Close;Volume;Adjusted Close
1329350400;97.3035021938;97.3316271938;95.3639978063;96.2786206013;3434051.25;96.2786206013
1329264000;99.2272521938;99.6007543988;98.0898706013;98.3429956013;1705545;98.3429956013
1329177600;98.5533728063;99.3689978063;98.116875;98.6838793988;1679568.75;98.6838793988
1329091200;99.6311206013;99.9371228063;98.6872521938;98.8683728063;1638810;98.8683728063
1328832000;99.5804956013;99.6795043988;98.3958728063;98.9673706013;1938881.25;98.9673706013
1328745600;99.88875;100.8832543988;99.7672521938;100.1486206013;2196821.25;100.1486206013
1328659200;99.6682543988;100.3691271938;99.4679956013;99.5546228063;2242811.25;99.5546228063
1328572800;99.4691271938;99.6401293988;98.1652478063;99.5276293988;2005278.75;99.5276293988
1328486400;99.3802478063;99.4702478063;98.4498706013;99.3971228063;2022570;99.3971228063
1328227200;98.4239978063;99.6885021938;98.2485021938;99.6885021938;2930107.5;99.6885021938
1328140800;98145;98.7975;97.7546228063;98.6883728063;2371702.5;98.6883728063
1328054400;96.2842456013;98.1764978063;96.2032543988;97.8367456013;2515016.25;97.8367456013
1327968000;96.0502478063;96.4901293988;95.5057543988;95.7285021938;2585171.25;95.7285021938
1327881600;96.6195043988;97.0222521938;95.5878771938;95.81625;2001420;95.81625
1327622400;97.5476293988;98.3992456013;97.0289978063;97.3946228063;1929802.5;97.3946228063
1327536000;96.6926293988;98.1179956013;96.5654956013;98.0302478063;2510223.75;98.0302478063
1327449600;96.958125;97.1853771938;95.20875;96.2482543988;2402988.75;96.2482543988
1327363200;96.204375;96.71625;95.83875;96.6532543988;2417917.5;96.6532543988
1327276800;96.2178771938;97.509375;95.9535021938;96.9704956013;2465527.5;96.9704956013
1327017600;96.8670043988;96.8895043988;95.9208728063;96.3213793988;3049132.5;96.3213793988
1326931200;95.2267456013;96.7927478063;94.8813793988;96.7927478063;3565811.25;96.7927478063
1326844800;96.0682543988;96.5452478063;94.62375;94.7328771938;2602698.75;94.7328771938
1326758400;96.2021228063;96.46875;95.0332543988;96.0221228063;2289138.75;96.0221228063
1326672000;94.1445043988;95.4404956013;93.9892456013;95.0579956013;1614071.25;95.0579956013
1326412800;95.6373706013;96.1672521938;94.1332543988;95.0692456013;2734492.5;95.0692456013
1326326400;95.1288793988;96.4788793988;94.71375;94.80375;2987021.25;94.80375
1326240000;95.2098706013;95.8635021938;94.1771228063;94.8014978063;2633253.75;94.8014978063
1326153600;93.8373706013;95.4686206013;93.81375;95.3201293988;2255793.75;95.3201293988
1326067200;93.538125;94.5495043988;92.8136206013;93.1376293988;1956915;93.1376293988
1325808000;94.1591271938;95.0163793988;92.6302478063;93.2523706013;1729856.25;93.2523706013
1325721600;96.7353771938;96.7353771938;93.3885021938;93.7079956013;2167920;93.7079956013
1325635200;97.6882543988;97.8896228063;95.9264978063;96.5452478063;2742783.75;96.5452478063
1325548800;98.3160021938;98.3621228063;96.7173706013;98.2395043988;2100251.25;98.2395043988
1325462400;96.2775;98.1472521938;96.2707543988;98.1427478063;1154925;98.1427478063
1325203200;96.2021228063;96.4316271938;95.461875;96.3708728063;1002723.75;96.3708728063
1325116800;94.606875;95.4888793988;93.4560021938;95.4888793988;1100497.5;95.4888793988
1325030400;95.8151293988;96.3045043988;93.8801293988;94.0320043988;1096380;94.0320043988
1324944000;96.035625;96.5902478063;95.5451293988;95.9579956013;787826.25;95.9579956013
1324598400;96.0716271938;96.395625;95.8646228063;96.1053771938;862751.25;96.1053771938
1324512000;94.5202478063;95.4989978063;94.5202478063;95.2076293988;1326937.5;95.2076293988
1324425600;96.01875;96.823125;93.5685021938;94.2570043988;2154082.5;94.2570043988
1324339200;92.7877478063;95.1120043988;92.4232543988;95.1120043988;2074961.25;95.1120043988
1324252800;91.4782488975;93.9825;91.3601238975;92.84625;1834256.25;92.84625
1323993600;93.4514978063;93.6303771938;91.7223761025;92.2882543988;4124936.25;92.2882543988
1323907200;92.2646228063;93.5235021938;91.9417511025;92.8170043988;2306306.25;92.8170043988
1323820800;93.1623706013;94.168125;92.0475;92.0475;1995761.25;92.0475
1323734400;94.6417456013;94.9927478063;92.9351293988;93.6877478063;2364232.5;93.6877478063
1323648000;96.7511206013;96.8557543988;94.28625;94.28625;1758656.25;94.28625
1323388800;94.3627478063;97.4148706013;94.2986206013;97.3091271938;2379318.75;97.3091271938
1323302400;97.8513793988;98.6253771938;94.8960021938;95.1885021938;2755946.25;95.1885021938
1323216000;98.8852478063;99.4972521938;95.7577478063;97.2483728063;2955746.25;97.2483728063
1323129600;97.4846228063;98.4003771938;97.1279956013;98.0189978063;1521416.25;98.0189978063
1323043200;97.1797521938;98.3025;97.1358728063;97.9402478063;2021951.25;97.9402478063
1322784000;95.6947521938;97.025625;95.5946228063;96.2842456013;2409727.5;96.2842456013
1322697600;94.96125;95.529375;94.156875;94.73625;1989596.25;94.73625
1322611200;90.3802478063;95.0939978063;90.2002478063;95.056875;3743133.75;95.056875
1322524800;90.815625;92.0407488975;89.8841271938;91.44;1882710;91.44
1322438400;88.6702478063;91.3488738975;88.4036261025;91.3488738975;2536830;91.3488738975
1322179200;86.9883728063;87.5114978063;85.5135021938;87.339375;1595936.25;87.339375
1322092800;87.9986261025;88.6173761025;86.2942511025;86.8702478063;1988392.5;86.8702478063
1322006400;88.2911261025;89.2811261025;87.0671228063;87.0671228063;2163431.25;87.0671228063
1321920000;90.99;91.1846228063;88.7917511025;88.9301238975;2143147.5;88.9301238975
1321833600;93.2771228063;93.4110021938;90.23625;90.23625;1982317.5;90.23625
1321574400;92.5267456013;94.0702478063;92.4941271938;93.4886206013;2789977.5;93.4886206013
1321488000;93.0645043988;93.7788793988;92.2533728063;93.0442456013;2143800;93.0442456013
1321401600;92.4007543988;94.6766271938;92.3996228063;93.4211206013;1953945;93.4211206013
1321315200;93.5628771938;93.7485021938;92.1566271938;92.6729956013;2226240;92.6729956013
1321228800;96.9277478063;96.9401293988;93.841875;94.1872521938;1741466.25;94.1872521938
1320969600;93.3941271938;96.5261206013;92.9610021938;96.2561206013;2170451.25;96.2561206013
1320883200;92.5514978063;95.225625;92.3771228063;93.4976293988;2154386.25;93.4976293988
1320796800;96.8546228063;96.9828771938;92.82375;93.8317456013;2564280;93.8317456013
1320710400;95.3032543988;97.3361206013;95.2526293988;95.833125;1823208.75;95.833125
1320624000;94.9151293988;96.7038793988;93.5054956013;95.3595043988;2352195;95.3595043988
1320364800;99.0101293988;99.0101293988;95.7892456013;96.7095043988;2352228.75;96.7095043988
1320278400;94.78125;98.8841271938;94.5810021938;98.0167456013;3032313.75;98.0167456013
1320192000;97.5127478063;97.7714978063;94905;96.463125;2325678.75;96.463125
1320105600;98.7232543988;98.7232543988;95.4101293988;96.5204956013;3038028.75;96.5204956013
1320019200;102.6832543988;103.2547521938;100.7426293988;100.7426293988;2139862.5;100.7426293988
1319760000;104.7307543988;105.19875;103.0364978063;103.7745043988;3015303.75;103.7745043988
1319673600;102.36375;104.6823706013;101.5976293988;104.293125;3415286.25;104.293125
1319587200;99.8302478063;100.9923706013;98.8616271938;99.365625;2075456.25;99.365625
1319500800;100.4613793988;100.9248706013;99.0427478063;99.8954956013;1911881.25;99.8954956013
1319414400;100.4051293988;100.9833728063;99.1777478063;100.7673706013;1723758.75;100.7673706013
1319155200;97.464375;100.0327478063;97.3923706013;99.59625;2546831.25;99.59625
1319068800;98.3261206013;99.2508728063;96.4563793988;96.8422521938;2659421.25;96.8422521938
1318982400;99.9123706013;100.2071228063;99.005625;99.556875;2132561.25;99.556875
1318896000;98.8064978063;99.3510021938;98.0448706013;99.1271228063;1860097.5;99.1271228063
1318809600;101.615625;102.2377478063;99.2846228063;99.7233728063;1995727.5;99.7233728063
1318550400;100.7246228063;101.6257543988;99.4601293988;100.974375;2010768.75;100.974375
1318464000;101.2072521938;102.0735021938;99.6491271938;100.614375;2563481.25;100.614375
1318377600;98.8289978063;101.5863793988;98.218125;101.548125;2560938.75;101.548125
1318291200;99.6614978063;99.6626293988;98.2372521938;99.511875;2155612.5;99.511875
1318204800;99.54;100.0620043988;98.8942456013;100.0395043988;2171823.75;100.0395043988
1317945600;98.1989978063;99.5613793988;97.5836206013;98.9820043988;2551218.75;98.9820043988
1317859200;95.7420043988;97.9289978063;95.6385021938;97.9289978063;3104336.25;97.9289978063
1317772800;94.5472521938;95.3696228063;93.3266271938;95.3696228063;2575912.5;95.3696228063
1317686400;93.0127478063;93.0588793988;90.7323761025;92.5357543988;3021896.25;92.5357543988
1317600000;93.8992456013;94.4370043988;93.2489978063;93.9802478063;2011511.25;93.9802478063
1317340800;96.2460021938;96.6667456013;94.8071228063;96.1492456013;2155443.75;96.1492456013
1317254400;94.775625;97.3563793988;94.7283728063;96.665625;2597850;96.665625
1317168000;94.6023706013;97.048125;94.1051293988;95.4022521938;2389612.5;95.4022521938
1317081600;94.2828771938;96.3236206013;93.751875;95.9838793988;3136038.75;95.9838793988
1316995200;88.2719988975;93.5178771938;88.2303771938;92.2691271938;2916247.5;92.2691271938
1316736000;89.3902478063;89.9876238975;85.9455011025;89.9651238975;3060900;89.9651238975
1316649600;90.1248761025;90.4871228063;87.4575;88.0964978063;3326343.75;88.0964978063
1316563200;94.2614978063;94.2682543988;92.08125;92.3658728063;1985478.75;92.3658728063
1316476800;91.9507488975;94.2120043988;91.704375;94.0747521938;1861391.25;94.0747521938
1316390400;91.9991271938;93.0622521938;91.7133728063;92.5053771938;1818045;92.5053771938
1316131200;94.9995043988;95.0073706013;93.0960021938;94.3695043988;4637013.75;94.3695043988
